,vehicle,trips,routes,directions,computed,detected
65,9031005917108322,['55700000063172442' nan '55700000063261167'],"['520', '240']","[0, 1]","['C2', 'B6']",['B6']
66,9031005901461204,[nan],[],[],[],[]
67,9031005917108310,['55700000064817521' nan '55700000064955572'],"['555', '555']","[0, 1]",['C1'],['C5']
68,9031005918308611,['55700000063252143' nan],['30'],[0],['C1'],['C2']
69,9031005920505745,['55700000063666641' '55700000063262294'],"['6', '23']","[0, 1]","['E1', 'D1']",['D1' 'A2']
70,9031005918308625,['55700000063167378' nan],['522'],[0],['C3'],['C3']
71,9031005920505647,['55700000065081782' '55700000065079769' nan '55700000064972001'],"['14', '18', '2']","[0, 0, 1]","['B5', 'A6']",['B5' 'D1' 'A6']
72,9031005918308614,[nan '55700000063231348'],['39'],[1],['C1'],['C2' 'C1']
73,9031005920505663,['55700000063351434' nan '55700000065074436'],"['1', '20']","[1, 1]","['A2', 'D1']",['A4' 'D1']
74,9031005920505505,['55700000064499423'],['16'],[1],['C4'],['C4']
75,9031005917108411,['55700000063167351' nan],['522'],[0],['C3'],['C4']
76,9031005920505674,['55700000065008740' '55700000064499493'],"['16', '16']","[0, 1]","['C5', 'C4']",['C5' 'C4']
77,9031005920505740,['55700000063309898' nan],['10'],[0],['B1'],['C4' 'B5']
78,9031005918308822,['55700000063252237' nan],['30'],[0],['C1'],[]
79,9031005920505664,"['55700000063343897' '55700000064971941' '55700000065109169'
 '55700000064972021']","['3', '2', '2', '2']","[0, 1, 0, 1]","['A5', 'A6']",['A6']
80,9031005918308621,['55700000065163954' nan],['39'],[0],['C1'],['C5']
81,9031005920505665,['55700000065015817'],['13'],[0],['B4'],['B4']
82,9031005918308626,['55700000065163998' nan],['39'],[0],['C1'],['C4']
83,9031005920505509,['55700000065096727' '55700000064403303'],"['5', '5']","[0, 1]","['A4', 'B3']",['A4' 'B3']
84,9031005920505651,['55700000065110086' '55700000064428116'],"['1', '1']","[0, 1]","['A3', 'A2']",['A3' 'A2']
