trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude
9031005918308625-2,9031005918308625,1647932288,1647932496,0,1647932324,1647932397,-1,539,1,C1,539,1,C1,15.6230812072754,58.4173164367676
9031005918308625-2,9031005918308625,1647932288,1647932496,1,1647932427,1647932488,-1,539,1,C1,539,1,C1,15.6225175857544,58.4177513122559
9031005918308626-0,9031005918308626,1647931803,1647931968,0,1647931833,1647931868,C4,39,0,C1,-1,-1,-1,15.6239280700684,58.4168510437012
9031005918308626-0,9031005918308626,1647931803,1647931968,1,1647931922,1647931964,-1,-1,-1,-1,-1,-1,-1,15.6221771240234,58.4177284240723
9031005918308629-0,9031005918308629,1647931913,1647932056,0,1647931930,1647931978,C3,240,1,B6,240,1,B6,15.623628616333,58.4170341491699
9031005918308629-0,9031005918308629,1647931913,1647932056,1,1647931992,1647931998,C2,240,1,B6,240,1,B6,15.6232900619507,58.4171714782715
9031005918308629-0,9031005918308629,1647931913,1647932056,2,1647932026,1647932053,-1,240,1,B6,240,1,B6,15.6222639083862,58.417724609375
9031005918308630-0,9031005918308630,1647933365,1647933470,0,1647933380,1647933412,B6,30,0,C1,-1,-1,-1,15.6243858337402,58.4167785644531
9031005918308630-0,9031005918308630,1647933365,1647933470,1,1647933443,1647933454,B1,-1,-1,-1,-1,-1,-1,15.6228761672974,58.4175567626953
9031005918308630-1,9031005918308630,1647934461,1647934464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005918308630-2,9031005918308630,1647934499,1647934649,0,1647934523,1647934597,-1,-1,-1,-1,30,1,C1,15.6230020523071,58.4173355102539
9031005918308630-2,9031005918308630,1647934499,1647934649,1,1647934624,1647934647,-1,30,1,C1,30,1,C1,15.6221742630005,58.4176902770996
9031005918308644-0,9031005918308644,1647930634,1647930757,0,1647930657,1647930700,C4,522,0,C3,-1,-1,-1,15.6239757537842,58.4168281555176
9031005918308644-0,9031005918308644,1647930634,1647930757,1,1647930732,1647930747,-1,-1,-1,-1,-1,-1,-1,15.6226654052734,58.4177665710449
9031005918308644-1,9031005918308644,1647931642,1647931653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005918308644-2,9031005918308644,1647931690,1647931857,0,1647931710,1647931736,C4,-1,-1,-1,521,1,C3,15.6239614486694,58.4168090820313
9031005918308644-2,9031005918308644,1647931690,1647931857,1,1647931749,1647931812,C3,521,1,C3,521,1,C3,15.6236763000488,58.4170188903809
9031005918308718-0,9031005918308718,1647930341,1647930945,0,1647930358,1647930907,C3,566,0,C1,522,1,C3,15.6236333847046,58.4170150756836
9031005918308719-0,9031005918308719,1647931066,1647931269,0,1647931094,1647931236,-1,540,0,C1,-1,-1,-1,15.6233358383179,58.4173126220703
9031005918308719-1,9031005918308719,1647931306,1647931425,0,1647931320,1647931377,B6,-1,-1,-1,240,1,B6,15.6244020462036,58.4167900085449
9031005918308719-2,9031005918308719,1647932738,1647932773,0,1647932761,1647932773,-1,566,1,C1,566,1,C1,15.6229267120361,58.4173736572266
9031005918308719-3,9031005918308719,1647932802,1647933041,0,1647932839,1647932999,C1,566,1,C1,566,1,C1,15.6228380203247,58.4174575805664
