id,latitude,longitude,bearing,speed,timestamp,vehicle.id,trip_id,schedule_relationship,source,route_id,direction_id,route_short_name,route_type,start_time,start_date,rsn_dir,trajectory_id,is_stopped,cluster,berths
797464717,58.4166679382324,15.624270439148,318,0.0,1647931507,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-08Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797465085,58.4166641235352,15.624270439148,318,0.0,1647931508,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-09Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797465455,58.4166641235352,15.6242685317993,318,0.0,1647931509,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-10Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797465835,58.4166641235352,15.6242685317993,318,0.0,1647931510,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-11Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797466194,58.4166641235352,15.6242685317993,318,0.0,1647931511,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-12Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797466194,58.4166641235352,15.6242685317993,318,0.0,1647931511,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-13Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797466605,58.4166641235352,15.6242685317993,318,0.0,1647931512,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-14Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797466949,58.4166641235352,15.6242685317993,318,0.0,1647931513,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-15Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797467701,58.4166641235352,15.6242685317993,318,0.0,1647931515,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-16Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797468073,58.4166641235352,15.6242685317993,318,0.0,1647931516,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-17Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797468453,58.4166641235352,15.6242685317993,318,0.0,1647931517,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-18Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797468816,58.4166641235352,15.6242685317993,318,0.0,1647931518,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-19Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
