,index,vehicle,timestart,timestop,detected_berth,computed_berths_for_vehicle,route,status,remarks
194,407,9031005918308845,2022-03-22 07:43:19,2022-03-22 07:43:27,-1,['C2'],['620'],unclear,{}
195,417,9031005920505508,2022-03-22 07:43:25,2022-03-22 07:43:32,-1,"['B3', 'A4']","['5', '5']",unclear,{}
196,421,9031005920505698,2022-03-22 07:43:52,2022-03-22 07:47:03,A5,"['C5', 'A5']","['17', '3', '3', '3']",confirmed,{}
197,424,9031005917108322,2022-03-22 07:43:55,2022-03-22 07:50:01,B6,"['C2', 'B6']","['520', '240']",confirmed,{}
198,418,9031005920505508,2022-03-22 07:44:17,2022-03-22 07:46:42,B3,"['B3', 'A4']","['5', '5']",confirmed,{}
199,365,9031005918308832,2022-03-22 07:44:41,2022-03-22 07:45:26,-1,"['C3', 'B4']","['521', '243']",regular_stop,{}
200,425,9031005917108310,2022-03-22 07:44:52,2022-03-22 07:45:18,C5,['C1'],"['555', '555']",unclear,{}
201,428,9031005918308611,2022-03-22 07:45:09,2022-03-22 07:46:06,C2,['C1'],['30'],unclear,{}
202,66,9031005920505666,2022-03-22 07:45:22,2022-03-22 07:45:28,-1,"['A6', 'D1', 'A2', 'A3']","['2', '23', '1', '1']",unclear,{}
203,431,9031005920505745,2022-03-22 07:45:27,2022-03-22 07:46:23,D1,"['E1', 'D1']","['6', '23']",confirmed,{}
204,434,9031005918308625,2022-03-22 07:45:28,2022-03-22 07:45:51,C3,"['C3', 'C1']","['522', '539']",confirmed,{}
205,439,9031005920505647,2022-03-22 07:45:30,2022-03-22 07:47:02,B5,"['B5', 'A6']","['14', '18', '2']",confirmed,{}
206,426,9031005917108310,2022-03-22 07:46:02,2022-03-22 07:47:11,-1,['C1'],"['555', '555']",regular_stop,{}
207,366,9031005918308832,2022-03-22 07:46:20,2022-03-22 07:46:26,-1,"['C3', 'B4']","['521', '243']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505745'}]}
208,435,9031005918308625,2022-03-22 07:46:28,2022-03-22 07:47:12,-1,"['C3', 'C1']","['522', '539']",unclear,{}
209,444,9031005918308614,2022-03-22 07:46:28,2022-03-22 07:46:37,C2,"['B4', 'C1']","['243', '39']",unclear,{}
210,429,9031005918308611,2022-03-22 07:46:35,2022-03-22 07:46:43,-1,['C1'],['30'],unclear,{}
211,322,9031005918308644,2022-03-22 07:46:35,2022-03-22 07:47:13,-1,['C3'],"['522', '521']",unclear,{}
212,367,9031005918308832,2022-03-22 07:46:39,2022-03-22 07:46:47,-1,"['C3', 'B4']","['521', '243']",unclear,{'at_crossing': 'B6'}
213,95,9031005920505663,2022-03-22 07:46:40,2022-03-22 07:46:49,-1,"['A3', 'A2', 'D1']","['1', '1', '20']",unclear,{}
214,58,9031005920505505,2022-03-22 07:46:44,2022-03-22 07:46:52,-1,"['C5', 'C4']","['16', '16', '16']",unclear,{'vehicle_infront': [{'vehicle': '9031005917108411'}]}
215,386,9031005920505662,2022-03-22 07:46:53,2022-03-22 07:47:12,-1,['A6'],"['2', '4', '4', '4']",unclear,{}
216,430,9031005918308611,2022-03-22 07:46:57,2022-03-22 07:47:14,-1,['C1'],['30'],unclear,{}
217,432,9031005920505745,2022-03-22 07:47:01,2022-03-22 07:47:18,A2,"['E1', 'D1']","['6', '23']",unclear,{}
218,445,9031005918308614,2022-03-22 07:47:06,2022-03-22 07:47:16,-1,"['B4', 'C1']","['243', '39']",unclear,{}
219,368,9031005918308832,2022-03-22 07:47:07,2022-03-22 07:49:05,B4,"['C3', 'B4']","['521', '243']",confirmed,{}
220,451,9031005917108411,2022-03-22 07:47:09,2022-03-22 07:47:28,C4,"['C3', 'C2']","['522', '620']",unclear,{}
221,59,9031005920505505,2022-03-22 07:47:22,2022-03-22 07:47:48,-1,"['C5', 'C4']","['16', '16', '16']",unclear,{'vehicle_infront': [{'vehicle': '9031005917108411'}]}
222,96,9031005920505663,2022-03-22 07:47:28,2022-03-22 07:47:46,A4,"['A3', 'A2', 'D1']","['1', '1', '20']",unclear,{}
223,132,9031005920505757,2022-03-22 07:47:51,2022-03-22 07:48:08,-1,"['E1', 'B5', 'A1']","['6', '18', '14']",unclear,{}
224,457,9031005920505674,2022-03-22 07:47:56,2022-03-22 07:49:57,C5,"['C5', 'C4']","['16', '16']",confirmed,{}
225,60,9031005920505505,2022-03-22 07:47:57,2022-03-22 07:50:15,C4,"['C5', 'C4']","['16', '16', '16']",confirmed,{}
226,460,9031005920505740,2022-03-22 07:47:59,2022-03-22 07:59:51,B5,"['B1', 'B5', 'A1']","['10', '18', '14']",confirmed,{}
227,440,9031005920505647,2022-03-22 07:48:14,2022-03-22 07:48:52,-1,"['B5', 'A6']","['14', '18', '2']",regular_stop,{}
228,29,9031005920505688,2022-03-22 07:48:16,2022-03-22 07:49:04,-1,['B2'],"['11', '11', '11', '11']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505663'}]}
229,97,9031005920505663,2022-03-22 07:48:17,2022-03-22 07:48:55,-1,"['A3', 'A2', 'D1']","['1', '1', '20']",unclear,{}
230,452,9031005917108411,2022-03-22 07:48:18,2022-03-22 07:48:53,-1,"['C3', 'C2']","['522', '620']",unclear,{}
231,463,9031005918308822,2022-03-22 07:48:21,2022-03-22 07:49:01,-1,['C1'],"['30', '30']",unclear,{}
232,323,9031005918308644,2022-03-22 07:48:31,2022-03-22 07:48:55,C4,['C3'],"['522', '521']",unclear,{}
233,18,9031005920505664,2022-03-22 07:48:36,2022-03-22 07:50:29,A6,"['A5', 'A6']","['3', '3', '2', '2', '2']",confirmed,{}
234,433,9031005920505745,2022-03-22 07:48:39,2022-03-22 07:54:41,D1,"['E1', 'D1']","['6', '23']",confirmed,{}
235,414,9031005920505652,2022-03-22 07:48:48,2022-03-22 07:49:00,-1,"['A6', 'A5', 'C5']","['4', '3', '17']",unclear,{}
236,324,9031005918308644,2022-03-22 07:49:11,2022-03-22 07:50:09,C3,['C3'],"['522', '521']",confirmed,{}
237,133,9031005920505757,2022-03-22 07:49:50,2022-03-22 07:50:17,A1,"['E1', 'B5', 'A1']","['6', '18', '14']",confirmed,{}
238,98,9031005920505663,2022-03-22 07:49:54,2022-03-22 07:50:11,-1,"['A3', 'A2', 'D1']","['1', '1', '20']",unclear,{}
239,399,9031005917108316,2022-03-22 07:49:58,2022-03-22 07:50:27,-1,"['C1', 'C2']","['65', '620']",regular_stop,{}
240,468,9031005918308621,2022-03-22 07:50:13,2022-03-22 07:50:35,C5,"['C1', 'B6']","['39', '240']",unclear,{}
241,115,9031005920505665,2022-03-22 07:50:14,2022-03-22 07:52:23,B4,"['B2', 'B4']","['13', '13']",confirmed,{}
242,99,9031005920505663,2022-03-22 07:50:21,2022-03-22 07:51:54,-1,"['A3', 'A2', 'D1']","['1', '1', '20']",unclear,{}
243,471,9031005918308626,2022-03-22 07:50:33,2022-03-22 07:51:06,C4,['C1'],['39'],unclear,{}
244,53,9031005920505509,2022-03-22 07:50:34,2022-03-22 07:53:29,A4,"['B3', 'A4']","['5', '5', '5']",confirmed,{}
245,19,9031005920505664,2022-03-22 07:50:46,2022-03-22 07:50:51,-1,"['A5', 'A6']","['3', '3', '2', '2', '2']",unclear,{}
246,70,9031005920505651,2022-03-22 07:50:46,2022-03-22 07:51:16,A3,"['A2', 'A3']","['1', '1', '1']",confirmed,{}
247,400,9031005917108316,2022-03-22 07:50:48,2022-03-22 07:51:05,-1,"['C1', 'C2']","['65', '620']",unclear,{}
248,473,9031005920505749,2022-03-22 07:50:50,2022-03-22 07:54:58,E2,['E2'],['10'],confirmed,{}
249,405,9031005918308724,2022-03-22 07:51:01,2022-03-22 07:51:12,-1,['C1'],['39'],unclear,{}
250,134,9031005920505757,2022-03-22 07:51:03,2022-03-22 07:51:18,-1,"['E1', 'B5', 'A1']","['6', '18', '14']",unclear,{}
251,325,9031005918308644,2022-03-22 07:51:09,2022-03-22 07:51:19,-1,['C3'],"['522', '521']",unclear,{}
252,401,9031005917108316,2022-03-22 07:51:32,2022-03-22 07:51:58,-1,"['C1', 'C2']","['65', '620']",unclear,{}
253,475,9031005920505753,2022-03-22 07:51:33,2022-03-22 07:51:57,B6,"['E1', 'A2', 'A1']","['6', '1', '15']",unclear,{}
254,472,9031005918308626,2022-03-22 07:52:04,2022-03-22 07:52:43,-1,['C1'],['39'],regular_stop,{}
255,7,9031005920505682,2022-03-22 07:52:09,2022-03-22 07:56:01,A6,['A6'],"['2', '2', '4', '4']",confirmed,{}
256,480,9031005918308629,2022-03-22 07:52:11,2022-03-22 07:52:56,C3,['B6'],['240'],unclear,{}
257,482,9031005920505742,2022-03-22 07:52:15,2022-03-22 08:05:10,-1,"['E2', 'A1', 'E1']","['10', '15', '572']",unclear,{}
258,100,9031005920505663,2022-03-22 07:52:17,2022-03-22 07:52:47,-1,"['A3', 'A2', 'D1']","['1', '1', '20']",unclear,{}
259,85,9031005920505661,2022-03-22 07:52:22,2022-03-22 07:54:54,B2,"['B4', 'B2']","['13', '13', '13']",confirmed,{}
260,484,9031005917108852,2022-03-22 07:52:45,2022-03-22 07:53:26,C5,['C2'],"['617', '616']",unclear,{}
261,402,9031005917108316,2022-03-22 07:52:56,2022-03-22 07:55:30,C2,"['C1', 'C2']","['65', '620']",confirmed,{}
262,487,9031005920505697,2022-03-22 07:53:17,2022-03-22 07:55:09,B6,"['A5', 'B6']","['3', '12', '12', '12']",confirmed,{}
263,109,9031005920505515,2022-03-22 07:53:43,2022-03-22 07:56:23,B3,"['A4', 'B3']","['5', '5', '5']",confirmed,{}
264,490,9031005918308721,2022-03-22 07:53:46,2022-03-22 07:54:52,B4,"['B4', 'C4']","['243', '513']",confirmed,{}
265,481,9031005918308629,2022-03-22 07:53:48,2022-03-22 07:54:12,-1,['B6'],['240'],regular_stop,{'vehicle_infront': [{'vehicle': '9031005920505749'}]}
266,101,9031005920505663,2022-03-22 07:53:49,2022-03-22 07:54:14,-1,"['A3', 'A2', 'D1']","['1', '1', '20']",unclear,"{'vehicle_infront': [{'vehicle': '9031005920505749'}, {'vehicle': '9031005918308629'}]}"
267,485,9031005917108852,2022-03-22 07:53:49,2022-03-22 07:55:37,C3,['C2'],"['617', '616']",unclear,{}
268,54,9031005920505509,2022-03-22 07:54:03,2022-03-22 07:54:15,-1,"['B3', 'A4']","['5', '5', '5']",unclear,{'at_crossing': 'E'}
269,144,9031005920505744,2022-03-22 07:54:29,2022-03-22 07:55:00,B1,"['E2', 'B1', 'B5']","['10', '10', '10', '18']",confirmed,{}
270,446,9031005918308614,2022-03-22 07:54:30,2022-03-22 07:54:56,-1,"['B4', 'C1']","['243', '39']",unclear,{}
271,4,9031005920505737,2022-03-22 07:54:35,2022-03-22 07:55:10,A4,['A1'],"['15', '15']",unclear,{}
272,190,9031005920505507,2022-03-22 07:54:55,2022-03-22 07:55:33,A2,"['A3', 'A2']","['1', '1', '1']",confirmed,{}
273,493,9031005920505648,2022-03-22 07:54:59,2022-03-22 07:59:00,A5,"['B5', 'A5']","['14', '3', '3', '3']",confirmed,{}
274,474,9031005920505749,2022-03-22 07:55:09,2022-03-22 07:55:25,-1,['E2'],['10'],unclear,{}
275,447,9031005918308614,2022-03-22 07:55:19,2022-03-22 07:55:25,-1,"['B4', 'C1']","['243', '39']",regular_stop,{}
276,486,9031005917108852,2022-03-22 07:55:55,2022-03-22 08:10:16,C2,['C2'],"['617', '616']",confirmed,{}
277,495,9031005920505657,2022-03-22 07:56:13,2022-03-22 08:00:02,C4,"['B6', 'C4']","['12', '21']",confirmed,{}
278,498,9031005920703863,2022-03-22 07:56:13,2022-03-22 07:56:47,C5,['C3'],['521'],unclear,{}
279,499,9031005920505680,2022-03-22 07:56:24,2022-03-22 07:57:33,-1,"['A6', 'C5']","['4', '17']",unclear,"{'vehicle_infront': [{'vehicle': '9031005920703863'}], 'at_crossing': 'C5'}"
280,488,9031005920505697,2022-03-22 07:56:28,2022-03-22 07:57:08,-1,"['A5', 'B6']","['3', '12', '12', '12']",regular_stop,{}
281,436,9031005918308625,2022-03-22 07:56:32,2022-03-22 07:57:10,-1,"['C3', 'C1']","['522', '539']",regular_stop,{}
282,8,9031005920505682,2022-03-22 07:56:47,2022-03-22 07:57:11,-1,['A6'],"['2', '2', '4', '4']",unclear,"{'vehicle_infront': [{'vehicle': '9031005918308625'}, {'vehicle': '9031005920505697'}]}"
283,110,9031005920505515,2022-03-22 07:56:47,2022-03-22 07:57:13,-1,"['A4', 'B3']","['5', '5', '5']",unclear,{'at_crossing': 'E'}
284,448,9031005918308614,2022-03-22 07:56:53,2022-03-22 07:59:44,B4,"['B4', 'C1']","['243', '39']",confirmed,{}
285,469,9031005918308621,2022-03-22 07:57:22,2022-03-22 08:00:03,B6,"['C1', 'B6']","['39', '240']",confirmed,{}
286,502,9031005918308837,2022-03-22 07:57:25,2022-03-22 07:57:34,-1,['C3'],['521'],unclear,{}
287,500,9031005920505680,2022-03-22 07:57:43,2022-03-22 08:00:08,C5,"['A6', 'C5']","['4', '17']",confirmed,{}
288,503,9031005918308837,2022-03-22 07:57:56,2022-03-22 07:58:31,C3,['C3'],['521'],confirmed,{}
289,378,9031005918308719,2022-03-22 07:58:14,2022-03-22 07:58:25,-1,"['C1', 'B6']","['540', '240', '566']",unclear,{}
290,437,9031005918308625,2022-03-22 07:58:44,2022-03-22 07:59:55,-1,"['C3', 'C1']","['522', '539']",unclear,{}
291,90,9031005920505669,2022-03-22 07:59:20,2022-03-22 07:59:37,D1,['A5'],"['3', '3', '3']",unclear,{}
292,504,9031005918308837,2022-03-22 07:59:22,2022-03-22 07:59:36,-1,['C3'],['521'],unclear,{}
293,153,9031005920505514,2022-03-22 07:59:24,2022-03-22 08:01:42,A3,"['A2', 'A3']","['1', '1', '1']",confirmed,{}
294,464,9031005918308822,2022-03-22 07:59:32,2022-03-22 07:59:39,-1,['C1'],"['30', '30']",unclear,{}
295,157,9031005920505746,2022-03-22 07:59:37,2022-03-22 08:02:51,B2,['B2'],"['11', '11', '11', '11', '11', '11']",confirmed,{}
296,232,9031005920505667,2022-03-22 07:59:38,2022-03-22 08:00:00,-1,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",unclear,{}
297,505,9031005920505678,2022-03-22 07:59:42,2022-03-22 08:02:21,A6,"['C5', 'A6']","['17', '2', '2', '2']",confirmed,{}
298,465,9031005918308822,2022-03-22 08:00:06,2022-03-22 08:00:13,-1,['C1'],"['30', '30']",unclear,{}
299,449,9031005918308614,2022-03-22 08:00:23,2022-03-22 08:01:26,-1,"['B4', 'C1']","['243', '39']",regular_stop,{}
300,438,9031005918308625,2022-03-22 08:00:29,2022-03-22 08:01:28,-1,"['C3', 'C1']","['522', '539']",unclear,{}
301,461,9031005920505740,2022-03-22 08:00:30,2022-03-22 08:01:32,-1,"['B1', 'B5', 'A1']","['10', '18', '14']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505667'}]}
302,233,9031005920505667,2022-03-22 08:00:30,2022-03-22 08:01:30,-1,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",unclear,{}
303,496,9031005920505657,2022-03-22 08:00:31,2022-03-22 08:01:35,-1,"['B6', 'C4']","['12', '21']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505740'}]}
304,91,9031005920505669,2022-03-22 08:00:32,2022-03-22 08:01:33,-1,['A5'],"['3', '3', '3']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505742'}]}
305,501,9031005920505680,2022-03-22 08:00:34,2022-03-22 08:01:34,-1,"['A6', 'C5']","['4', '17']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505657'}]}
306,256,9031005920505735,2022-03-22 08:00:35,2022-03-22 08:05:11,D1,"['B5', 'D1']","['14', '18', '20']",confirmed,{}
307,470,9031005918308621,2022-03-22 08:00:37,2022-03-22 08:01:33,-1,"['C1', 'B6']","['39', '240']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505669'}]}
308,466,9031005918308822,2022-03-22 08:01:06,2022-03-22 08:04:52,C1,['C1'],"['30', '30']",confirmed,{'vehicle_infront': [{'vehicle': '9031005920505657'}]}
309,37,9031005920505671,2022-03-22 08:02:36,2022-03-22 08:10:12,B6,['B6'],"['12', '12', '12', '12']",confirmed,{}
310,497,9031005920505657,2022-03-22 08:02:37,2022-03-22 08:02:56,-1,"['B6', 'C4']","['12', '21']",unclear,{}
311,92,9031005920505669,2022-03-22 08:02:46,2022-03-22 08:02:57,-1,['A5'],"['3', '3', '3']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505657'}]}
312,83,9031005920505646,2022-03-22 08:02:51,2022-03-22 08:08:12,A6,['A6'],"['4', '2', '2', '4']",confirmed,{}
313,250,9031005920505668,2022-03-22 08:02:59,2022-03-22 08:07:03,B4,"['B2', 'B4']","['13', '13', '13']",confirmed,{}
314,506,9031005920505678,2022-03-22 08:03:03,2022-03-22 08:03:12,-1,"['C5', 'A6']","['17', '2', '2', '2']",regular_stop,{}
315,512,9031005920505748,2022-03-22 08:03:29,2022-03-22 08:08:04,E1,['E1'],"['6', '6']",confirmed,{}
316,180,9031005920505511,2022-03-22 08:04:00,2022-03-22 08:06:38,B3,"['A4', 'B3']","['5', '5', '5']",confirmed,{}
317,118,9031005920505759,2022-03-22 08:05:13,2022-03-22 08:11:30,E2,"['B1', 'E2']","['10', '10', '10']",confirmed,{}
318,279,9031005920505696,2022-03-22 08:05:41,2022-03-22 08:10:05,C4,"['C5', 'C4']","['16', '16']",confirmed,{}
319,268,9031005920505751,2022-03-22 08:05:50,2022-03-22 08:10:10,B1,"['E2', 'B1']","['10', '10']",confirmed,{}
320,467,9031005918308822,2022-03-22 08:06:01,2022-03-22 08:06:07,-1,['C1'],"['30', '30']",unclear,{}
321,514,9031005918308732,2022-03-22 08:06:02,2022-03-22 08:06:17,-1,['C3'],['521'],unclear,{}
322,379,9031005918308719,2022-03-22 08:06:04,2022-03-22 08:06:22,-1,"['C1', 'B6']","['540', '240', '566']",unclear,{}
323,22,9031005920505733,2022-03-22 08:06:08,2022-03-22 08:06:24,A1,"['C4', 'E2', 'A1']","['21', '10', '15']",confirmed,{}
324,23,9031005920505733,2022-03-22 08:06:40,2022-03-22 08:07:02,-1,"['C4', 'E2', 'A1']","['21', '10', '15']",regular_stop,{}
325,515,9031005918308732,2022-03-22 08:06:46,2022-03-22 08:07:04,-1,['C3'],['521'],unclear,{}
326,210,9031005920505510,2022-03-22 08:07:18,2022-03-22 08:10:05,A4,"['B3', 'A4']","['5', '5', '5']",confirmed,{}
327,380,9031005918308719,2022-03-22 08:07:19,2022-03-22 08:09:59,C1,"['C1', 'B6']","['540', '240', '566']",confirmed,{}
328,300,9031005920505517,2022-03-22 08:07:37,2022-03-22 08:13:36,A2,"['A4', 'A2']","['5', '1']",confirmed,{}
329,251,9031005920505668,2022-03-22 08:07:50,2022-03-22 08:08:33,-1,"['B2', 'B4']","['13', '13', '13']",regular_stop,{}
330,124,9031005920505500,2022-03-22 08:07:52,2022-03-22 08:10:04,C5,"['A1', 'C5', 'C4']","['14', '16', '16']",confirmed,{}
331,513,9031005920505748,2022-03-22 08:08:19,2022-03-22 08:08:37,-1,['E1'],"['6', '6']",regular_stop,{}
332,195,9031005920505506,2022-03-22 08:08:29,2022-03-22 08:10:14,B2,"['B4', 'B2']","['13', '13', '13']",confirmed,{}
333,520,9031005920505683,2022-03-22 08:08:46,2022-03-22 08:10:26,C3,['A6'],['2'],unclear,{}
334,34,9031005920505752,2022-03-22 08:09:49,2022-03-22 08:14:44,A1,['E1'],"['6', '6', '6']",unclear,{}
335,136,9031005920505658,2022-03-22 08:10:13,2022-03-22 08:10:20,-1,"['C4', 'B5', 'D1']","['16', '14', '18', '20']",regular_stop,{}
336,219,9031005920505516,2022-03-22 08:10:17,2022-03-22 08:11:05,A5,"['A6', 'D1', 'A5', 'C5']","['4', '20', '3', '3', '3', '17']",confirmed,{}
337,526,9031005920703856,2022-03-22 08:10:24,2022-03-22 08:10:29,B6,['D1'],['241'],unclear,{}
338,125,9031005920505500,2022-03-22 08:10:42,2022-03-22 08:10:47,-1,"['A1', 'C5', 'C4']","['14', '16', '16']",unclear,{}
339,38,9031005920505671,2022-03-22 08:10:53,2022-03-22 08:11:09,-1,['B6'],"['12', '12', '12', '12']",unclear,{}
340,527,9031005920703856,2022-03-22 08:10:59,2022-03-22 08:11:11,-1,['D1'],['241'],unclear,{}
341,280,9031005920505696,2022-03-22 08:11:19,2022-03-22 08:11:56,-1,"['C5', 'C4']","['16', '16']",regular_stop,{}
342,39,9031005920505671,2022-03-22 08:11:21,2022-03-22 08:11:53,-1,['B6'],"['12', '12', '12', '12']",unclear,{}
343,126,9031005920505500,2022-03-22 08:11:25,2022-03-22 08:11:57,-1,"['A1', 'C5', 'C4']","['14', '16', '16']",unclear,{}
344,528,9031005920703856,2022-03-22 08:11:28,2022-03-22 08:11:52,C1,['D1'],['241'],unclear,{'vehicle_infront': [{'vehicle': '9031005920505500'}]}
345,521,9031005920505683,2022-03-22 08:11:28,2022-03-22 08:12:15,-1,['A6'],['2'],unclear,{}
346,262,9031005920505649,2022-03-22 08:11:42,2022-03-22 08:12:01,A3,"['A2', 'A3']","['1', '1', '1']",confirmed,{}
347,119,9031005920505759,2022-03-22 08:11:43,2022-03-22 08:12:00,E2,"['B1', 'E2']","['10', '10', '10']",confirmed,{}
348,220,9031005920505516,2022-03-22 08:11:46,2022-03-22 08:12:09,-1,"['A6', 'D1', 'A5', 'C5']","['4', '20', '3', '3', '3', '17']",unclear,{}
349,529,9031005920703853,2022-03-22 08:11:53,2022-03-22 08:12:11,-1,[],[],unclear,{}
350,288,9031005920505502,2022-03-22 08:11:55,2022-03-22 08:12:04,-1,"['B3', 'A4']","['5', '5', '5']",unclear,{}
351,120,9031005920505759,2022-03-22 08:12:48,2022-03-22 08:13:01,-1,"['B1', 'E2']","['10', '10', '10']",unclear,{}
352,334,9031005920505734,2022-03-22 08:12:49,2022-03-22 08:13:19,-1,"['E1', 'B5', 'A1']","['6', '18', '14']",unclear,{}
353,530,9031005920703853,2022-03-22 08:13:08,2022-03-22 08:13:15,-1,[],[],unclear,{}
354,522,9031005920505683,2022-03-22 08:13:11,2022-03-22 08:13:16,-1,['A6'],['2'],unclear,{'vehicle_infront': [{'vehicle': '9031005920703853'}]}
355,312,9031005920505754,2022-03-22 08:13:21,2022-03-22 08:18:04,B2,['B2'],"['11', '11', '11', '11']",confirmed,{}
356,450,9031005918308614,2022-03-22 08:13:49,2022-03-22 08:20:05,C1,"['B4', 'C1']","['243', '39']",confirmed,{}
357,164,9031005920505731,2022-03-22 08:14:01,2022-03-22 08:15:49,C5,"['A1', 'D1']","['15', '15', '15', '20']",unclear,{}
358,301,9031005920505517,2022-03-22 08:14:03,2022-03-22 08:14:09,-1,"['A4', 'A2']","['5', '1']",regular_stop,{}
359,391,9031005920505656,2022-03-22 08:14:08,2022-03-22 08:15:32,A2,"['A3', 'A2']","['1', '1']",confirmed,{}
360,523,9031005920505683,2022-03-22 08:14:15,2022-03-22 08:14:44,A6,['A6'],['2'],confirmed,{}
361,276,9031005920505503,2022-03-22 08:14:42,2022-03-22 08:19:17,B3,"['A3', 'B3', 'A4']","['1', '5', '5']",confirmed,{}
362,531,9031005918308744,2022-03-22 08:14:57,2022-03-22 08:16:16,-1,['C1'],['543'],unclear,{'vehicle_infront': [{'vehicle': '9031005918308614'}]}
363,335,9031005920505734,2022-03-22 08:14:59,2022-03-22 08:15:16,A1,"['E1', 'B5', 'A1']","['6', '18', '14']",confirmed,{}
364,35,9031005920505752,2022-03-22 08:15:09,2022-03-22 08:23:01,E1,['E1'],"['6', '6', '6']",confirmed,{}
365,524,9031005920505683,2022-03-22 08:15:18,2022-03-22 08:15:33,-1,['A6'],['2'],regular_stop,{}
366,476,9031005920505753,2022-03-22 08:15:23,2022-03-22 08:15:31,-1,"['E1', 'A2', 'A1']","['6', '1', '15']",unclear,{'at_crossing': 'A6'}
367,200,9031005920505675,2022-03-22 08:15:25,2022-03-22 08:20:14,C4,"['A5', 'C4']","['3', '3', '3', '21']",confirmed,{}
368,283,9031005920505687,2022-03-22 08:15:31,2022-03-22 08:15:50,-1,"['A6', 'C5']","['2', '2', '17']",unclear,{'at_crossing': 'C5'}
369,42,9031005918308622,2022-03-22 08:15:34,2022-03-22 08:15:44,-1,"['C1', 'C3']","['530', '522', '521']",unclear,{}
370,533,9031005918308630,2022-03-22 08:15:36,2022-03-22 08:15:54,-1,['C1'],"['30', '30']",unclear,{'vehicle_infront': [{'vehicle': '9031005918308622'}]}
371,392,9031005920505656,2022-03-22 08:15:57,2022-03-22 08:16:08,-1,"['A3', 'A2']","['1', '1']",regular_stop,{}
372,477,9031005920505753,2022-03-22 08:16:00,2022-03-22 08:20:00,A2,"['E1', 'A2', 'A1']","['6', '1', '15']",confirmed,{}
373,284,9031005920505687,2022-03-22 08:16:08,2022-03-22 08:22:16,C5,"['A6', 'C5']","['2', '2', '17']",confirmed,{}
374,534,9031005918308630,2022-03-22 08:16:20,2022-03-22 08:16:51,B6,['C1'],"['30', '30']",unclear,{}
375,43,9031005918308622,2022-03-22 08:16:31,2022-03-22 08:17:00,C2,"['C1', 'C3']","['530', '522', '521']",unclear,{}
376,383,9031005920505650,2022-03-22 08:16:36,2022-03-22 08:21:52,B4,"['B2', 'B4']","['13', '13']",confirmed,{}
377,165,9031005920505731,2022-03-22 08:16:52,2022-03-22 08:17:25,-1,"['A1', 'D1']","['15', '15', '15', '20']",regular_stop,{}
378,532,9031005918308744,2022-03-22 08:16:57,2022-03-22 08:17:28,-1,['C1'],['543'],unclear,{}
379,516,9031005918308732,2022-03-22 08:17:13,2022-03-22 08:17:27,-1,['C3'],['521'],unclear,{'vehicle_infront': [{'vehicle': '9031005920505752'}]}
380,44,9031005918308622,2022-03-22 08:17:23,2022-03-22 08:17:29,-1,"['C1', 'C3']","['530', '522', '521']",unclear,{}
381,535,9031005918308630,2022-03-22 08:17:24,2022-03-22 08:17:31,B1,['C1'],"['30', '30']",unclear,{'vehicle_infront': [{'vehicle': '9031005918308622'}]}
382,166,9031005920505731,2022-03-22 08:17:45,2022-03-22 08:17:53,-1,"['A1', 'D1']","['15', '15', '15', '20']",unclear,{}
383,359,9031005920505513,2022-03-22 08:17:47,2022-03-22 08:22:32,A4,"['B3', 'A4']","['5', '5']",confirmed,{}
384,14,9031005920505673,2022-03-22 08:18:00,2022-03-22 08:23:56,A3,"['A3', 'A2']","['1', '1', '1', '1']",confirmed,{}
385,517,9031005918308732,2022-03-22 08:18:30,2022-03-22 08:18:42,-1,['C3'],['521'],unclear,{}
386,313,9031005920505754,2022-03-22 08:18:35,2022-03-22 08:18:41,-1,['B2'],"['11', '11', '11', '11']",regular_stop,{}
387,167,9031005920505731,2022-03-22 08:18:35,2022-03-22 08:20:07,D1,"['A1', 'D1']","['15', '15', '15', '20']",confirmed,{}
388,147,9031005920505686,2022-03-22 08:18:55,2022-03-22 08:23:02,A5,"['C5', 'A5']","['17', '17', '3']",confirmed,{}
389,518,9031005918308732,2022-03-22 08:19:15,2022-03-22 08:20:20,C3,['C3'],['521'],confirmed,{}
390,271,9031005920505676,2022-03-22 08:19:36,2022-03-22 08:21:18,A6,"['B6', 'A6']","['12', '12', '12', '4']",confirmed,{}
391,540,9031005918308826,2022-03-22 08:19:49,2022-03-22 08:20:41,C2,['C1'],['39'],unclear,{'at_crossing': 'C1'}
392,171,9031005920505670,2022-03-22 08:20:40,2022-03-22 08:21:35,D1,"['A5', 'A6']","['3', '4', '4', '4']",unclear,{}
393,519,9031005918308732,2022-03-22 08:20:53,2022-03-22 08:21:38,-1,['C3'],['521'],regular_stop,{}
