,id,latitude,longitude,bearing,speed,timestamp,vehicle.id,trip_id,schedule_relationship,source,route_id,direction_id,route_short_name,route_type
0,796812657,58.41660690307617,15.624821662902832,2.0,2.5,1647929759,9031005920505507,55700000065109999,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005020100000,0,1,700
1,796812800,58.417362213134766,15.622166633605955,144.0,4.699999809265137,1647929759,9031005920505514,55700000064428291,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005020100000,1,1,700
2,796812897,58.41690826416016,15.624011993408203,321.0,0.0,1647929759,9031005920505672,55700000063262824,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005022100000,1,21,700
3,796812590,58.41686248779297,15.624679565429688,320.0,0.0,1647929758,9031005920505670,55700000064970024,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005020400000,1,4,700
4,796812797,58.41694259643555,15.62413501739502,320.0,0.0,1647929759,9031005920505757,55700000065078108,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005021800000,1,18,700
5,796812606,58.4174690246582,15.623133659362791,321.0,0.0,1647929758,9031005920505746,55700000063302028,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005021100000,1,11,700
6,796812887,58.4174690246582,15.622784614562988,340.0,3.900000095367432,1647929759,9031005920505686,55700000064494973,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005021700000,1,17,700
7,796812653,58.41691589355469,15.623771667480469,329.0,3.0999999046325684,1647929759,9031005918308829,55700000063171276,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005052100000,0,521,700
8,796812891,58.41699600219727,15.624268531799316,319.0,6.099999904632568,1647929759,9031005920505511,55700000065100883,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005020500000,0,5,700
9,796812561,58.41770553588867,15.623029708862305,319.0,0.0,1647929758,9031005920505731,55700000063278864,0.0,otraf-vehiclepositions-2022-03-22T07-16-00Z.pb,9011005021500000,1,15,700
10,796813035,58.416629791259766,15.6248140335083,353.0,2.5,1647929760,9031005920505507,55700000065109999,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005020100000,0,1,700
11,796813169,58.41732406616211,15.622214317321776,147.0,4.699999809265137,1647929760,9031005920505514,55700000064428291,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005020100000,1,1,700
12,796813263,58.41690826416016,15.624011993408203,321.0,0.0,1647929760,9031005920505672,55700000063262824,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005022100000,1,21,700
13,796812967,58.41686248779297,15.624679565429688,320.0,0.0,1647929759,9031005920505670,55700000064970024,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005020400000,1,4,700
14,796813216,58.41694259643555,15.62413501739502,320.0,0.0,1647929760,9031005920505757,55700000065078108,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005021800000,1,18,700
15,796812983,58.4174690246582,15.623133659362791,321.0,0.0,1647929759,9031005920505746,55700000063302028,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005021100000,1,11,700
16,796813258,58.4175033569336,15.622777938842772,352.0,3.900000095367432,1647929760,9031005920505686,55700000064494973,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005021700000,1,17,700
17,796813029,58.416934967041016,15.623744010925291,325.0,3.0999999046325684,1647929760,9031005918308829,55700000063171276,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005052100000,0,521,700
18,796813262,58.41704177856445,15.62421417236328,321.0,5.599999904632568,1647929760,9031005920505511,55700000065100883,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005020500000,0,5,700
19,796812934,58.41770553588867,15.623029708862305,319.0,0.0,1647929759,9031005920505731,55700000063278864,0.0,otraf-vehiclepositions-2022-03-22T07-16-01Z.pb,9011005021500000,1,15,700
20,796813408,58.416648864746094,15.624810218811035,354.0,2.200000047683716,1647929761,9031005920505507,55700000065109999,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005020100000,0,1,700
21,796813539,58.41728210449219,15.622248649597168,153.0,4.699999809265137,1647929761,9031005920505514,55700000064428291,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005020100000,1,1,700
22,796813651,58.41690826416016,15.624011993408203,321.0,0.0,1647929761,9031005920505672,55700000063262824,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005022100000,1,21,700
23,796813334,58.41686248779297,15.624679565429688,320.0,0.0,1647929760,9031005920505670,55700000064970024,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005020400000,1,4,700
24,796813563,58.41694259643555,15.62413501739502,320.0,0.0,1647929761,9031005920505757,55700000065078108,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005021800000,1,18,700
25,796813367,58.4174690246582,15.623133659362791,321.0,0.0,1647929760,9031005920505746,55700000063302028,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005021100000,1,11,700
26,796813641,58.41753768920898,15.622788429260254,4.0,3.5999999046325684,1647929761,9031005920505686,55700000064494973,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005021700000,1,17,700
27,796813415,58.41695785522461,15.623714447021484,322.0,3.0999999046325684,1647929761,9031005918308829,55700000063171276,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005052100000,0,521,700
28,796813644,58.417083740234375,15.624159812927246,321.0,5.300000190734863,1647929761,9031005920505511,55700000065100883,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005020500000,0,5,700
29,796813696,58.41770553588867,15.623029708862305,319.0,0.0,1647929761,9031005920505731,55700000063278864,0.0,otraf-vehiclepositions-2022-03-22T07-16-02Z.pb,9011005021500000,1,15,700
30,796813790,58.41666412353516,15.624795913696287,344.0,2.200000047683716,1647929762,9031005920505507,55700000065109999,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005020100000,0,1,700
31,796813917,58.417240142822266,15.62227725982666,158.0,4.699999809265137,1647929762,9031005920505514,55700000064428291,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005020100000,1,1,700
32,796814035,58.41690826416016,15.624011993408203,321.0,0.0,1647929762,9031005920505672,55700000063262824,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005022100000,1,21,700
33,796813715,58.41686248779297,15.624679565429688,320.0,0.0,1647929761,9031005920505670,55700000064970024,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005020400000,1,4,700
34,796813928,58.41694259643555,15.62413501739502,320.0,0.0,1647929762,9031005920505757,55700000065078108,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005021800000,1,18,700
35,796813729,58.4174690246582,15.623133659362791,321.0,0.0,1647929761,9031005920505746,55700000063302028,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005021100000,1,11,700
36,796814012,58.417572021484375,15.622804641723633,11.0,3.5999999046325684,1647929762,9031005920505686,55700000064494973,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005021700000,1,17,700
37,796813782,58.41697692871094,15.623684883117676,321.0,2.799999952316284,1647929762,9031005918308829,55700000063171276,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005052100000,0,521,700
38,796814020,58.41712188720703,15.62411117553711,322.0,4.699999809265137,1647929762,9031005920505511,55700000065100883,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005020500000,0,5,700
39,796814059,58.41770553588867,15.623029708862305,319.0,0.0,1647929762,9031005920505731,55700000063278864,0.0,otraf-vehiclepositions-2022-03-22T07-16-03Z.pb,9011005021500000,1,15,700
40,796814169,58.41668319702149,15.624775886535645,336.0,2.5,1647929763,9031005920505507,55700000065109999,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005020100000,0,1,700
41,796814305,58.41718673706055,15.622294425964355,164.0,5.300000190734863,1647929763,9031005920505514,55700000064428291,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005020100000,1,1,700
42,796814405,58.41690826416016,15.624011993408203,321.0,0.0,1647929763,9031005920505672,55700000063262824,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005022100000,1,21,700
43,796814471,58.41686248779297,15.624679565429688,320.0,0.0,1647929763,9031005920505670,55700000064970024,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005020400000,1,4,700
44,796814308,58.41694259643555,15.62413501739502,320.0,0.0,1647929763,9031005920505757,55700000065078108,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005021800000,1,18,700
45,796814504,58.4174690246582,15.623133659362791,321.0,0.0,1647929763,9031005920505746,55700000063302028,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005021100000,1,11,700
46,796814394,58.417606353759766,15.622821807861328,12.0,3.900000095367432,1647929763,9031005920505686,55700000064494973,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005021700000,1,17,700
47,796814159,58.4169921875,15.623664855957031,322.0,2.200000047683716,1647929763,9031005918308829,55700000063171276,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005052100000,0,521,700
48,796814400,58.41715240478516,15.624068260192873,322.0,4.199999809265137,1647929763,9031005920505511,55700000065100883,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005020500000,0,5,700
49,796814437,58.41770553588867,15.623029708862305,319.0,0.0,1647929763,9031005920505731,55700000063278864,0.0,otraf-vehiclepositions-2022-03-22T07-16-04Z.pb,9011005021500000,1,15,700
50,796814922,58.41672897338867,15.624711036682127,326.0,3.5999999046325684,1647929765,9031005920505507,55700000065109999,0.0,otraf-vehiclepositions-2022-03-22T07-16-05Z.pb,9011005020100000,0,1,700
51,796814688,58.41713333129883,15.622312545776367,168.0,5.599999904632568,1647929764,9031005920505514,55700000064428291,0.0,otraf-vehiclepositions-2022-03-22T07-16-05Z.pb,9011005020100000,1,1,700
