,id,trip_id,schedule_relationship,latitude,longitude,bearing,speed,timestamp,vehicle.id,source,route_id,direction_id,route_short_name,route_type
29,796455496,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928800,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-02Z.pb,9011005021100000,1,11,700
30,796455999,,,58.41810607910156,15.62110710144043,316.0,9.199999809265137,1647928801,9031005920505753,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,-1,-1,-1,-1
31,796456088,,,58.41745376586914,15.622955322265625,0.0,0.0,1647928803,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,-1,-1,-1,-1
32,796456182,55700000063278840,0.0,58.41769790649414,15.622908592224121,320.0,0.0,1647928802,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005021500000,1,15,700
33,796456183,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928802,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005020200000,1,2,700
34,796455895,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928801,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005020100000,0,1,700
35,796456030,,,58.417606353759766,15.623064041137695,314.0,2.5,1647928802,9031005920505752,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,-1,-1,-1,-1
36,796455971,55700000063338064,0.0,58.417057037353516,15.624249458312988,322.0,0.0,1647928801,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005020300000,1,3,700
37,796455874,55700000063262810,0.0,58.416873931884766,15.62392807006836,320.0,0.0,1647928801,9031005920505733,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005022100000,1,21,700
38,796455864,55700000064969976,0.0,58.41679000854492,15.622303009033203,183.0,6.900000095367432,1647928801,9031005920505680,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005020400000,1,4,700
39,796455857,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928801,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005021100000,1,11,700
40,796456462,,,58.41745376586914,15.622955322265625,0.0,0.0,1647928804,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,-1,-1,-1,-1
41,796456556,55700000063278840,0.0,58.41769790649414,15.622908592224121,320.0,0.0,1647928803,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,9011005021500000,1,15,700
42,796456550,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928803,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,9011005020200000,1,2,700
43,796456269,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928802,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,9011005020100000,0,1,700
44,796456398,,,58.417625427246094,15.623028755187988,319.0,2.799999952316284,1647928803,9031005920505752,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,-1,-1,-1,-1
45,796456336,55700000063338064,0.0,58.417057037353516,15.624250411987305,322.0,0.0,1647928802,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,9011005020300000,1,3,700
46,796456255,55700000063262810,0.0,58.416873931884766,15.62392807006836,320.0,0.0,1647928802,9031005920505733,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,9011005022100000,1,21,700
47,796455864,55700000064969976,0.0,58.41679000854492,15.622303009033203,183.0,6.900000095367432,1647928801,9031005920505680,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,9011005020400000,1,4,700
48,796456234,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928802,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-04Z.pb,9011005021100000,1,11,700
49,796456462,,,58.41745376586914,15.622955322265625,0.0,0.0,1647928804,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,-1,-1,-1,-1
50,796456556,55700000063278840,0.0,58.41769790649414,15.622908592224121,320.0,0.0,1647928803,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,9011005021500000,1,15,700
51,796456550,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928803,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,9011005020200000,1,2,700
52,796456269,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928802,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,9011005020100000,0,1,700
53,796456398,,,58.417625427246094,15.623028755187988,319.0,2.799999952316284,1647928803,9031005920505752,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,-1,-1,-1,-1
54,796456336,55700000063338064,0.0,58.417057037353516,15.624250411987305,322.0,0.0,1647928802,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,9011005020300000,1,3,700
55,796456255,55700000063262810,0.0,58.416873931884766,15.62392807006836,320.0,0.0,1647928802,9031005920505733,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,9011005022100000,1,21,700
56,796455864,55700000064969976,0.0,58.41679000854492,15.622303009033203,183.0,6.900000095367432,1647928801,9031005920505680,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,9011005020400000,1,4,700
57,796456234,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928802,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-05Z.pb,9011005021100000,1,11,700
58,796456851,,,58.417457580566406,15.622955322265625,0.0,0.0,1647928805,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,-1,-1,-1,-1
59,796456917,55700000063278840,0.0,58.41769790649414,15.622908592224121,320.0,0.0,1647928804,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,9011005021500000,1,15,700
60,796456932,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928804,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,9011005020200000,1,2,700
61,796456638,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928803,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,9011005020100000,0,1,700
62,796456766,,,58.41764831542969,15.62299633026123,322.0,2.799999952316284,1647928804,9031005920505752,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,-1,-1,-1,-1
63,796456701,55700000063338064,0.0,58.417057037353516,15.624250411987305,322.0,0.0,1647928803,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,9011005020300000,1,3,700
64,796456987,55700000063262810,0.0,58.4168815612793,15.62391185760498,308.0,0.800000011920929,1647928804,9031005920505733,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,9011005022100000,1,21,700
65,796456978,55700000064969976,0.0,58.41655349731445,15.62243366241455,168.0,8.600000381469727,1647928804,9031005920505680,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,9011005020400000,1,4,700
