,trip_id,schedule_relationship,latitude,longitude,bearing,speed,timestamp,vehicle.id,source,route_id,direction_id,route_short_name,route_type,assigned_berth
79,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928806,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-08Z.pb,9011005020100000,0,1,700,A3
81,55700000063338064,0.0,58.417057037353516,15.624250411987305,322.0,0.0,1647928805,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-08Z.pb,9011005020300000,1,3,700,
84,55700000063302008,0.0,58.417457580566406,15.623204231262207,323.0,0.0,1647928806,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-08Z.pb,9011005021100000,1,11,700,B2
85,,,58.417457580566406,15.622956275939941,0.0,0.0,1647928808,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-09Z.pb,-1,-1,-1,-1,
86,55700000063278840,0.0,58.41769790649414,15.622907638549805,320.0,0.0,1647928807,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-09Z.pb,9011005021500000,1,15,700,A1
87,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928807,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-09Z.pb,9011005020200000,1,2,700,A6
88,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928807,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-09Z.pb,9011005020100000,0,1,700,A3
90,55700000063338064,0.0,58.417057037353516,15.624250411987305,322.0,0.0,1647928807,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-09Z.pb,9011005020300000,1,3,700,
93,55700000063302008,0.0,58.417457580566406,15.623204231262207,323.0,0.0,1647928807,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-09Z.pb,9011005021100000,1,11,700,B2
94,,,58.41746139526367,15.622955322265625,0.0,0.0,1647928809,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-10Z.pb,-1,-1,-1,-1,
95,55700000063278840,0.0,58.41769790649414,15.622907638549805,320.0,0.0,1647928808,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-10Z.pb,9011005021500000,1,15,700,A1
96,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928808,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-10Z.pb,9011005020200000,1,2,700,A6
97,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928808,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-10Z.pb,9011005020100000,0,1,700,A3
99,55700000063338064,0.0,58.417057037353516,15.624250411987305,322.0,0.0,1647928808,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-10Z.pb,9011005020300000,1,3,700,
102,55700000063302008,0.0,58.417457580566406,15.623204231262207,323.0,0.0,1647928808,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-10Z.pb,9011005021100000,1,11,700,B2
103,,,58.41746139526367,15.622955322265625,0.0,0.0,1647928810,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-11Z.pb,-1,-1,-1,-1,
104,55700000063278840,0.0,58.41769790649414,15.622907638549805,320.0,0.0,1647928809,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-11Z.pb,9011005021500000,1,15,700,A1
105,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928809,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-11Z.pb,9011005020200000,1,2,700,A6
106,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928809,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-11Z.pb,9011005020100000,0,1,700,A3
108,55700000063338064,0.0,58.417057037353516,15.624250411987305,322.0,0.0,1647928809,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-11Z.pb,9011005020300000,1,3,700,
