,index,vehicle,timestart,timestop,detected_berth,computed_berths_for_vehicle,route,status,remarks,enter_terminal,exit_terminal,time_to_berth,time_from_berth
187,263,9031005920505649,2022-03-22 08:47:10,2022-03-22 08:49:54,A2,"['A2', 'A3']","['1', '1', '1']",confirmed,{},1647935198.0,1647935429.0,32.0,35.0
188,494,9031005920505648,2022-03-22 08:47:17,2022-03-22 08:53:02,A5,"['B5', 'A5']","['14', '3', '3', '3']",confirmed,{},1647935207.0,1647935644.0,30.0,62.0
189,553,9031005918308616,2022-03-22 08:47:21,2022-03-22 08:50:32,C3,['C3'],"['59', '522']",confirmed,{},1647935219.0,1647935495.0,22.0,63.0
190,77,9031005920505747,2022-03-22 08:47:50,2022-03-22 08:52:49,E1,"['B5', 'E1']","['14', '18', '6', '6', '6']",confirmed,{},1647935212.0,1647935625.0,58.0,56.0
191,234,9031005920505667,2022-03-22 08:48:31,2022-03-22 08:50:12,A3,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",confirmed,{},1647935274.0,1647935436.0,37.0,24.0
192,196,9031005920505506,2022-03-22 08:49:25,2022-03-22 08:51:58,B4,"['B4', 'B2']","['13', '13', '13']",confirmed,{},1647935340.0,1647935562.0,25.0,44.0
193,491,9031005918308721,2022-03-22 08:50:03,2022-03-22 08:50:19,C4,"['B4', 'C4']","['243', '513']",confirmed,{},1647935385.0,1647935426.0,18.0,7.0
194,478,9031005920505753,2022-03-22 08:50:35,2022-03-22 08:54:53,A1,"['E1', 'A2', 'A1']","['6', '1', '15']",confirmed,{},1647935390.0,1647935726.0,45.0,33.0
195,212,9031005920505510,2022-03-22 08:50:42,2022-03-22 08:51:29,B3,"['B3', 'A4']","['5', '5', '5']",confirmed,{},1647935402.0,1647935542.0,40.0,53.0
196,127,9031005920505500,2022-03-22 08:50:44,2022-03-22 08:51:25,C4,"['A1', 'C5', 'C4']","['14', '16', '16']",confirmed,{},1647935426.0,1647935555.0,18.0,70.0
197,181,9031005920505511,2022-03-22 08:50:50,2022-03-22 08:51:31,A4,"['A4', 'B3']","['5', '5', '5']",confirmed,{},1647935414.0,1647935549.0,36.0,58.0
198,510,9031005920505678,2022-03-22 08:51:06,2022-03-22 08:57:57,A6,"['C5', 'A6']","['17', '2', '2', '2']",confirmed,{},1647935444.0,1647935930.0,22.0,53.0
