imprecision.imprecision_val,imprecision.imprecision_std,imprecision.imprecision_trajs.kept,imprecision.imprecision_trajs.multiple_clusters,imprecision.imprecision_trajs.too_few_trajs_main_cluster,imprecision.imprecision_trajs.too_few_trajs_general,GPS.hdop,GPS.vtec,weather.Lufttemperatur.value,weather.Lufttemperatur.station_id,weather.Relativ Luftfuktighet.value,weather.Relativ Luftfuktighet.station_id,weather.Nederbördsmängd.value,weather.Nederbördsmängd.station_id,weather.Lufttryck reducerat havsytans nivå.value,weather.Lufttryck reducerat havsytans nivå.station_id,datetime
NaN,-0.0,0,0,0,11,0.6821045387938579,8.5,-2.5,97280,75.0,97280,0.0,97280,1017.9000244140625,97510,2024-01-01T15:00:00.000000
NaN,-0.0,0,0,0,8,0.6821589886903384,2.6,-1.7999999523162842,97280,76.0,97280,0.0,97280,1017.2999877929688,97510,2024-01-01T06:00:00.000000
NaN,-0.0,0,0,0,11,0.7073411415902361,9.5,-17.299999237060547,97280,87.0,97280,0.0,97280,1024.699951171875,97510,2024-01-06T15:00:00.000000
NaN,-0.0,0,0,0,8,0.7081552660366118,2.0,-11.800000190734863,97280,86.0,97280,0.0,97280,1019.5,97510,2024-01-06T06:00:00.000000
0.00003302850650148064,0.00002354105688805239,4,0,0,6,0.6709344560707233,13.700000000000001,-1.100000023841858,97280,76.0,97280,0.0,97280,1029.0,97510,2024-01-11T15:00:00.000000
0.000026665192608062667,0.000018624282079687675,2,0,0,5,0.671359628230287,4.5,2.5999999046325684,97280,83.0,97280,0.0,97510,1022.5999755859375,97510,2024-01-11T06:00:00.000000
0.00004593949625587779,0.000026826898608348743,5,0,0,3,0.7807236964242391,18.6,-12.300000190734863,97280,74.0,97280,0.0,97280,1000.2999877929688,97510,2024-01-16T15:00:00.000000
0.000040676064156501056,0.00003784410015952372,4,0,0,3,0.7867752601825324,6.300000000000001,-14.800000190734863,97280,81.0,97280,0.0,97280,999.0,97510,2024-01-16T06:00:00.000000
NaN,-0.0,0,0,0,11,0.7512532847725057,19.3,1.0,97280,83.0,97280,0.0,97280,1009.2999877929688,97510,2024-01-21T15:00:00.000000
NaN,-0.0,0,0,0,8,0.751433539985834,4.5,-1.0,97280,96.0,97280,0.30000001192092896,97280,1015.4000244140625,97510,2024-01-21T06:00:00.000000
0.00003251561965733886,0.00004734829360061018,7,0,0,3,0.8511695587876068,23.900000000000002,0.20000000298023224,97280,97.0,97280,0.0,97280,1007.2999877929688,97510,2024-01-26T15:00:00.000000
0.00003855136078964067,0.00003359878663912709,6,0,0,3,0.851504751799203,4.9,-3.0,97280,93.0,97280,0.0,97280,1018.7999877929688,97510,2024-01-26T06:00:00.000000
NaN,-0.0,0,0,0,8,0.6818799712461513,25.400000000000002,21.600000381469727,97280,52.0,97280,0.0,97280,1001.7000122070312,97510,2024-07-01T15:00:00.000000
0.00006342903597088135,0.00007013028238692211,2,0,0,5,0.681529687576073,23.0,14.600000381469727,97280,89.0,97280,0.0,97280,1001.9000244140625,97510,2024-07-01T06:00:00.000000
NaN,-0.0,0,0,0,12,0.7420015892575961,25.3,17.700000762939453,97280,60.0,97280,0.0,97280,1002.2000122070312,97510,2024-07-06T15:00:00.000000
NaN,-0.0,0,0,0,8,0.7420936623306414,31.700000000000003,13.0,97280,85.0,97280,0.0,97280,999.5999755859375,97510,2024-07-06T06:00:00.000000
NaN,-0.0,0,0,0,9,0.690139256913139,24.6,23.100000381469727,97280,64.0,97280,0.0,97280,1013.0999755859375,97510,2024-07-11T15:00:00.000000
0.000012824895881737066,8.456002408769339e-6,1,0,0,5,0.6894233240319247,32.6,17.0,97280,97.0,97280,0.0,97280,1012.4000244140625,97510,2024-07-11T06:00:00.000000
NaN,-0.0,0,0,0,8,0.7551747094022825,26.1,22.399999618530273,97280,52.0,97280,0.0,97280,1014.4000244140625,97510,2024-07-16T15:00:00.000000
6.125313421205116e-6,3.669804915393516e-6,1,0,0,6,0.7548657976085552,28.3,17.899999618530273,97280,85.0,97280,0.0,97280,1014.4000244140625,97510,2024-07-16T06:00:00.000000
NaN,-0.0,0,0,0,11,0.6759614575470118,27.200000000000003,24.399999618530273,97280,65.0,97280,0.0,97280,1013.0,97510,2024-07-21T15:00:00.000000
NaN,-0.0,0,0,0,8,0.6759930298410928,30.400000000000002,16.700000762939453,97280,87.0,97280,0.0,97280,1013.9000244140625,97510,2024-07-21T06:00:00.000000
NaN,-0.0,0,0,0,8,0.7391133639494453,22.0,23.0,97280,61.0,97280,0.0,97280,1010.7000122070312,97510,2024-07-26T15:00:00.000000
0.00001093257771467031,7.002134416800693e-6,1,0,0,6,0.7397690856379895,15.200000000000001,17.899999618530273,97280,78.0,97280,0.0,97280,1011.2999877929688,97510,2024-07-26T06:00:00.000000
