imprecision.imprecision_val,imprecision.imprecision_std,imprecision.imprecision_trajs.kept,imprecision.imprecision_trajs.multiple_clusters,imprecision.imprecision_trajs.too_few_trajs_main_cluster,imprecision.imprecision_trajs.too_few_trajs_general,GPS.hdop,GPS.vtec,weather.Lufttemperatur.value,weather.Lufttemperatur.station_id,weather.Relativ Luftfuktighet.value,weather.Relativ Luftfuktighet.station_id,weather.Nederbördsmängd.value,weather.Nederbördsmängd.station_id,weather.Lufttryck reducerat havsytans nivå.value,weather.Lufttryck reducerat havsytans nivå.station_id,datetime
0.000029776539517284646,9.758237469283197e-6,2,0,0,9,0.6819863623240793,11.4,-1.7999999523162842,86340,78.0,86340,0.0,86420,1012.9000244140625,86340,2024-01-01T15:00:00.000000
NaN,-0.0,0,0,0,5,0.6820324032702954,3.4000000000000004,-1.2000000476837158,86340,78.0,86340,0.0,86340,1011.9000244140625,86340,2024-01-01T06:00:00.000000
0.000017295773062374724,2.312674267807248e-6,1,0,0,9,0.7069645868047991,11.5,-15.5,86340,84.0,86340,0.0,86420,1024.199951171875,86340,2024-01-06T15:00:00.000000
NaN,-0.0,0,0,0,7,0.7077715230138236,2.3000000000000003,-18.399999618530273,86340,82.0,86340,0.0,86420,1019.5999755859375,86340,2024-01-06T06:00:00.000000
0.000020132959533019473,0.000011896162634556512,6,0,0,7,0.6733221004722887,17.0,0.800000011920929,86340,82.0,86340,0.0,86340,1028.800048828125,86340,2024-01-11T15:00:00.000000
0.00001720207995798041,7.3470426129579054e-6,7,0,0,8,0.6737476803346891,5.1000000000000005,0.5,86340,85.0,86340,0.0,86340,1022.7999877929688,86340,2024-01-11T06:00:00.000000
0.000025465184921052613,0.000013514941611073179,6,0,0,7,0.7809475975188254,22.0,-11.300000190734863,86340,88.0,86340,0.0,86420,1001.7000122070312,86340,2024-01-16T15:00:00.000000
0.000021902065591071028,0.00001285113008705892,5,0,0,8,0.7813355440658254,5.6000000000000005,-17.299999237060547,86340,85.0,86340,0.0,86340,1000.5,86340,2024-01-16T06:00:00.000000
0.000015359645994449,2.5924680700254124e-6,1,0,0,9,0.6896566586273777,22.400000000000002,2.5999999046325684,86340,50.0,86340,0.0,86420,1009.5,86340,2024-01-21T15:00:00.000000
NaN,-0.0,0,0,0,6,0.6894576819140021,4.5,0.6000000238418579,86340,90.0,86340,0.0,86420,1015.7999877929688,86340,2024-01-21T06:00:00.000000
0.00001877460691850135,6.3965950733758075e-6,7,0,0,7,0.8511503184013715,26.0,0.30000001192092896,86340,95.0,86340,1.5,86340,1004.2000122070312,86340,2024-01-26T15:00:00.000000
0.000018070170613196414,6.8222726648448246e-6,8,0,0,8,0.851484347769997,4.9,-1.399999976158142,86340,93.0,86340,0.0,86340,1018.0,86340,2024-01-26T06:00:00.000000
0.000029851104648794858,0.000027005207898679246,4,0,0,10,0.7691851961923717,26.1,21.799999237060547,86340,45.0,86340,0.0,86340,1003.5999755859375,86340,2024-07-01T15:00:00.000000
0.00001935568898542646,0.000011975066160090676,4,0,0,10,0.7685048168089339,22.900000000000002,14.5,86340,89.0,86340,0.0,86340,1003.7999877929688,86340,2024-07-01T06:00:00.000000
NaN,-0.0,0,0,0,9,0.7410794179060952,26.0,16.5,86340,80.0,86340,0.20000000298023224,86340,1001.5999755859375,86340,2024-07-06T15:00:00.000000
NaN,-0.0,0,0,0,8,0.7411687156250333,31.5,13.199999809265137,86340,80.0,86340,0.0,86340,1001.4000244140625,86340,2024-07-06T06:00:00.000000
0.00002947899959678511,0.00001926963537285206,3,0,0,9,0.6889953030367522,26.1,23.600000381469727,86340,57.0,86340,0.0,86340,1013.2000122070312,86340,2024-07-11T15:00:00.000000
0.000027417146182955005,0.000016477824816947735,4,0,0,8,0.6882821546743109,32.7,16.899999618530273,86340,94.0,86340,0.0,86340,1013.5,86340,2024-07-11T06:00:00.000000
0.000021108909811915874,7.928711923612243e-6,5,0,0,9,0.7539784513894862,27.0,20.5,86340,64.0,86340,0.0,86340,1013.7000122070312,86340,2024-07-16T15:00:00.000000
0.000020487698134165948,9.127764051089249e-6,2,0,0,8,0.7536677477187935,28.400000000000002,15.800000190734863,86340,91.0,86340,0.0,86340,1013.7999877929688,86340,2024-07-16T06:00:00.000000
0.000028736612558507303,0.00001205690589096184,2,0,0,9,0.675499170360847,27.400000000000002,23.200000762939453,86340,58.0,86340,0.0,86340,1011.9000244140625,86340,2024-07-21T15:00:00.000000
NaN,-0.0,0,0,0,7,0.6755230714113725,30.700000000000003,16.0,86340,93.0,86340,0.0,86340,1013.0,86340,2024-07-21T06:00:00.000000
0.00002718000355364362,0.000011547546451599319,2,0,0,10,0.7379694813686594,23.3,24.200000762939453,86340,42.0,86340,0.0,86340,1009.7000122070312,86340,2024-07-26T15:00:00.000000
0.00003921650570842396,0.000029679144230945904,4,0,0,8,0.7386096150180024,16.5,16.600000381469727,86340,80.0,86340,0.0,86340,1011.2000122070312,86340,2024-07-26T06:00:00.000000
