trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude,remarks
9031005918308629-0,9031005918308629,1647931913,1647932056,0,1647931931,1647931976,C3,240,1,B6,240,1,B6,15.623628616333,58.4170341491699,{}
9031005918308629-0,9031005918308629,1647931913,1647932056,1,1647932028,1647932052,-1,240,1,B6,240,1,B6,15.6222553253174,58.4177207946777,{'zone': True}
9031005918308630-0,9031005918308630,1647933365,1647933470,0,1647933380,1647933411,B6,30,0,C1,-1,-1,-1,15.6243858337402,58.4167785644531,{}
9031005918308630-0,9031005918308630,1647933365,1647933470,1,1647933444,1647933451,B1,-1,-1,-1,-1,-1,-1,15.6228771209717,58.4175529479981,{}
9031005918308630-1,9031005918308630,1647934461,1647934464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005918308630-2,9031005918308630,1647934499,1647934649,0,1647934524,1647934595,-1,-1,-1,-1,30,1,C1,15.6229906082153,58.4173240661621,{}
9031005918308630-2,9031005918308630,1647934499,1647934649,1,1647934624,1647934645,-1,30,1,C1,30,1,C1,15.6221742630005,58.4176902770996,{'zone': True}
9031005918308644-0,9031005918308644,1647930634,1647930757,0,1647930658,1647930695,C4,522,0,C3,-1,-1,-1,15.6239757537842,58.4168319702148,{}
9031005918308644-0,9031005918308644,1647930634,1647930757,1,1647930733,1647930747,-1,-1,-1,-1,-1,-1,-1,15.6226654052734,58.4177665710449,{}
9031005918308644-1,9031005918308644,1647931642,1647931653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005918308644-2,9031005918308644,1647931690,1647931857,0,1647931711,1647931725,C4,-1,-1,-1,521,1,C3,15.6239585876465,58.4168128967285,{}
9031005918308644-2,9031005918308644,1647931690,1647931857,1,1647931732,1647931735,C4,521,1,C3,521,1,C3,15.6239461898804,58.4168319702148,{}
9031005918308644-2,9031005918308644,1647931690,1647931857,2,1647931751,1647931809,C3,521,1,C3,521,1,C3,15.6236619949341,58.4170227050781,{}
9031005918308718-0,9031005918308718,1647930341,1647930945,0,1647930360,1647930902,C3,566,0,C1,522,1,C3,15.6236238479614,58.4170227050781,{}
9031005918308719-0,9031005918308719,1647931066,1647931269,0,1647931094,1647931100,-1,540,0,C1,-1,-1,-1,15.6233358383179,58.4173126220703,{'at_crossing': 'B2'}
9031005918308719-0,9031005918308719,1647931066,1647931269,1,1647931102,1647931110,-1,-1,-1,-1,-1,-1,-1,15.6233491897583,58.4172973632813,{'at_crossing': 'B2'}
9031005918308719-0,9031005918308719,1647931066,1647931269,2,1647931112,1647931144,-1,-1,-1,-1,-1,-1,-1,15.6233291625977,58.4172744750977,{'at_crossing': 'B2'}
9031005918308719-0,9031005918308719,1647931066,1647931269,3,1647931151,1647931156,B3,-1,-1,-1,-1,-1,-1,15.6233730316162,58.417236328125,{}
9031005918308719-0,9031005918308719,1647931066,1647931269,4,1647931159,1647931190,-1,-1,-1,-1,-1,-1,-1,15.6233787536621,58.4172134399414,{}
9031005918308719-0,9031005918308719,1647931066,1647931269,5,1647931195,1647931227,C2,-1,-1,-1,-1,-1,-1,15.6233530044556,58.4172058105469,{}
9031005918308719-1,9031005918308719,1647931306,1647931425,0,1647931321,1647931375,B6,-1,-1,-1,240,1,B6,15.624400138855,58.4167938232422,{}
9031005918308719-2,9031005918308719,1647932738,1647933041,0,1647932764,1647932773,-1,566,1,C1,566,1,C1,15.6227054595947,58.417423248291,{}
9031005918308719-2,9031005918308719,1647932738,1647933041,1,1647932839,1647932868,C1,566,1,C1,566,1,C1,15.6228380203247,58.4174575805664,{}
9031005918308719-2,9031005918308719,1647932738,1647933041,2,1647932870,1647932897,C1,566,1,C1,566,1,C1,15.6228799819946,58.4174346923828,{}
